,Year,RK_x,Team,League_x,G_x,AB,R_x,H_x,2B,3B,HR_x,RBI,BB_x,SO_x,SB_x,CS_x,AVG▼_x,OBP,SLG,OPS,RK_y,League_y,W,L,ERA,G_y,GS_x,SV,SVO,IP,H_y,R_y,ER,HR_y,BB_y,SO_y,AVG▼_y,WHIP,RK,League,G,GS_y,INN,TC,PO,A,E,DP,SB_y,CS_y,SBPCT,PB,C_WP,FPCT▼,DER,Playoff
30,2017.0,1,Houston Astros,AL,162,5611,896,1581,346,20,238,854,509,1087,98,42,0.282,0.34600000000000003,0.478,0.823,25,AL,101,61,4.12,162,162,45,67,1446.0,1314,700,662,192,522,1593,0.24,1.27,21,AL,162,1458,13014.0,5963,4338,1526,99,153,102,14,0.879,16,86,0.983,0.6829999999999999,1.0
31,2017.0,2,Colorado Rockies,NL,162,5534,824,1510,293,38,192,793,519,1408,59,34,0.273,0.33799999999999997,0.444,0.7809999999999999,8,NL,87,75,4.51,162,162,47,62,1437.2,1453,757,721,190,532,1270,0.264,1.38,2,NL,162,1458,12939.0,6120,4313,1730,77,168,67,27,0.713,18,69,0.987,0.685,0.0
32,2017.0,3,Miami Marlins,NL,162,5602,778,1497,271,31,194,743,486,1282,91,30,0.267,0.331,0.431,0.7609999999999999,12,NL,77,85,4.82,162,162,34,61,1442.2,1450,822,772,193,627,1202,0.263,1.44,1,NL,162,1458,12984.0,5955,4328,1554,73,156,67,30,0.691,12,57,0.988,0.693,0.0
33,2017.0,4,Washington Nationals,NL,162,5553,819,1477,311,31,215,796,542,1327,108,30,0.266,0.332,0.449,0.782,26,NL,97,65,3.88,162,162,46,64,1446.2,1300,672,623,189,495,1457,0.239,1.24,11,NL,162,1458,13020.0,5860,4340,1434,86,139,94,29,0.764,10,44,0.985,0.701,1.0
34,2017.0,5,Cleveland Indians,AL,162,5511,818,1449,333,29,212,780,604,1153,88,23,0.263,0.33899999999999997,0.449,0.7879999999999999,28,AL,102,60,3.3,162,162,37,47,1440.2,1267,564,529,163,406,1614,0.23600000000000002,1.16,3,AL,162,1458,12966.0,5845,4322,1447,76,167,50,37,0.575,9,48,0.987,0.684,1.0
35,2017.0,6,Atlanta Braves,NL,162,5584,732,1467,289,26,165,706,474,1184,77,31,0.263,0.326,0.41200000000000003,0.738,11,NL,72,90,4.72,162,162,36,59,1441.1,1463,821,756,192,584,1258,0.263,1.42,19,NL,162,1458,12972.0,5999,4324,1578,97,137,99,30,0.767,20,58,0.9840000000000001,0.685,0.0
36,2017.0,7,New York Yankees,AL,162,5594,858,1463,266,23,241,821,616,1386,90,22,0.262,0.33899999999999997,0.447,0.785,29,AL,91,71,3.72,162,162,36,59,1448.2,1248,660,599,192,504,1560,0.228,1.21,18,AL,162,1458,13038.0,5909,4346,1468,95,102,65,26,0.7140000000000001,21,83,0.9840000000000001,0.7040000000000001,1.0
37,2017.0,8,Baltimore Orioles,AL,162,5650,743,1469,269,12,232,713,392,1412,32,13,0.26,0.312,0.435,0.747,3,AL,75,87,4.97,162,162,35,53,1441.0,1505,841,795,242,579,1233,0.26899999999999996,1.45,16,AL,162,1458,12969.0,6026,4323,1609,94,175,77,34,0.6940000000000001,8,53,0.9840000000000001,0.6859999999999999,0.0
38,2017.0,9,Minnesota Twins,AL,162,5557,815,1444,286,31,206,781,593,1342,95,28,0.26,0.33399999999999996,0.434,0.768,5,AL,85,77,4.59,162,162,42,61,1436.0,1487,788,732,224,483,1166,0.266,1.37,4,AL,162,1458,12924.0,5863,4308,1477,78,143,75,29,0.721,16,52,0.987,0.693,0.0
39,2017.0,10,Kansas City Royals,AL,162,5536,702,1436,260,24,193,660,390,1166,91,31,0.259,0.311,0.42,0.731,6,AL,80,82,4.61,162,162,39,60,1437.2,1480,791,737,196,519,1216,0.265,1.39,5,AL,162,1458,12939.0,5917,4313,1525,79,145,87,30,0.7440000000000001,11,48,0.987,0.685,0.0
40,2017.0,11,Seattle Mariners,AL,162,5551,750,1436,281,17,200,714,487,1267,89,35,0.259,0.325,0.424,0.7490000000000001,17,AL,78,84,4.46,162,162,39,65,1440.1,1399,772,713,237,490,1244,0.254,1.31,23,AL,162,1458,12963.0,5846,4321,1422,103,147,80,26,0.755,15,73,0.982,0.701,0.0
41,2017.0,12,Detroit Tigers,AL,162,5556,735,1435,289,35,187,699,503,1313,65,34,0.258,0.324,0.424,0.748,1,AL,64,98,5.36,162,162,32,55,1420.1,1587,894,846,218,538,1202,0.282,1.5,10,AL,162,1458,12783.0,5734,4261,1389,84,146,85,37,0.6970000000000001,14,53,0.985,0.669,0.0
42,2017.0,13,Boston Red Sox,AL,162,5669,785,1461,302,19,168,735,571,1224,106,31,0.258,0.32899999999999996,0.40700000000000003,0.736,22,AL,93,69,3.7,162,162,39,58,1482.1,1384,668,610,195,465,1580,0.245,1.25,26,AL,162,1458,13341.0,5944,4447,1390,107,126,61,39,0.61,19,43,0.982,0.6829999999999999,1.0
43,2017.0,14,St. Louis Cardinals,NL,162,5470,761,1402,284,28,196,728,593,1348,81,31,0.256,0.33399999999999996,0.426,0.76,19,NL,83,79,4.01,162,162,43,60,1450.1,1393,705,646,183,493,1351,0.253,1.3,14,NL,162,1458,13053.0,6039,4351,1594,94,164,54,32,0.628,7,38,0.9840000000000001,0.688,0.0
44,2017.0,15,Chicago White Sox,AL,162,5513,706,1412,256,37,186,670,401,1397,71,31,0.256,0.314,0.41700000000000004,0.731,18,AL,67,95,4.78,162,162,25,40,1421.2,1384,820,755,242,632,1193,0.254,1.42,29,AL,162,1458,12795.0,5920,4265,1541,114,157,120,26,0.8220000000000001,11,67,0.981,0.701,0.0
45,2017.0,16,Chicago Cubs,NL,162,5496,822,1402,274,29,223,785,622,1401,62,31,0.255,0.33799999999999997,0.43700000000000006,0.775,27,NL,92,70,3.95,162,162,38,57,1447.1,1294,695,636,194,554,1439,0.23800000000000002,1.28,15,NL,162,1458,13026.0,6093,4342,1656,95,139,121,35,0.7759999999999999,13,73,0.9840000000000001,0.7,1.0
46,2017.0,17,Arizona Diamondbacks,NL,162,5525,812,1405,314,39,220,776,578,1456,103,30,0.254,0.32899999999999996,0.445,0.774,24,NL,93,69,3.66,162,162,43,63,1441.0,1309,659,586,171,516,1482,0.24,1.27,24,NL,162,1458,12969.0,6035,4323,1604,108,140,69,32,0.6829999999999999,12,82,0.982,0.688,1.0
47,2017.0,18,Cincinnati Reds,NL,162,5484,753,1390,249,38,219,715,565,1329,120,39,0.253,0.32899999999999996,0.433,0.7609999999999999,10,NL,68,94,5.17,162,162,33,48,1430.0,1442,869,821,248,631,1300,0.263,1.45,6,NL,162,1458,12870.0,5994,4290,1623,81,132,79,42,0.653,9,62,0.986,0.691,0.0
48,2017.0,19,New York Mets,NL,162,5510,735,1379,286,28,224,713,529,1291,58,23,0.25,0.32,0.434,0.755,2,NL,70,92,5.01,162,162,34,54,1434.2,1538,863,799,220,593,1374,0.273,1.49,17,NL,162,1458,12912.0,5852,4304,1456,92,125,102,29,0.779,7,55,0.9840000000000001,0.667,0.0
49,2017.0,20,Philadelphia Phillies,NL,162,5535,690,1382,287,36,174,654,494,1417,59,25,0.25,0.315,0.409,0.723,7,NL,66,96,4.55,162,162,33,57,1441.0,1471,782,729,221,527,1309,0.265,1.39,8,NL,162,1458,12969.0,5902,4323,1497,82,145,91,30,0.752,17,50,0.986,0.687,0.0
50,2017.0,21,Milwaukee Brewers,NL,162,5467,732,1363,267,22,224,695,547,1571,128,41,0.249,0.322,0.429,0.7509999999999999,20,NL,86,76,4.0,162,162,54,79,1445.2,1381,697,642,185,553,1346,0.252,1.34,28,NL,162,1458,13011.0,6076,4337,1624,115,164,99,32,0.7559999999999999,11,50,0.981,0.6859999999999999,0.0
51,2017.0,22,Los Angeles Dodgers,NL,162,5408,770,1347,312,20,221,730,649,1380,77,28,0.249,0.33399999999999996,0.43700000000000006,0.7709999999999999,30,NL,104,58,3.38,162,162,51,68,1444.2,1226,580,543,184,442,1549,0.228,1.15,13,NL,162,1458,13002.0,5789,4334,1367,88,131,68,28,0.708,19,40,0.985,0.7040000000000001,1.0
52,2017.0,23,San Francisco Giants,NL,162,5551,639,1382,290,28,128,612,467,1204,76,34,0.249,0.309,0.38,0.6890000000000001,4,NL,64,98,4.5,162,162,32,55,1452.0,1515,776,726,182,496,1234,0.268,1.38,9,NL,162,1458,13068.0,5965,4356,1522,87,127,73,37,0.664,6,55,0.985,0.68,0.0
53,2017.0,24,Oakland Athletics,AL,162,5464,739,1344,305,15,234,708,565,1491,57,22,0.24600000000000002,0.319,0.436,0.755,14,AL,75,87,4.67,162,162,35,60,1431.0,1444,826,743,210,502,1202,0.261,1.36,30,AL,162,1458,12879.0,6011,4293,1597,121,162,111,42,0.725,16,84,0.98,0.687,0.0
54,2017.0,25,Tampa Bay Rays,AL,162,5478,694,1340,226,32,228,671,545,1538,88,34,0.245,0.317,0.42200000000000004,0.7390000000000001,23,AL,80,82,3.97,162,162,53,75,1445.0,1324,704,638,193,503,1352,0.242,1.26,22,AL,162,1458,13005.0,5868,4335,1433,100,129,83,22,0.79,15,83,0.983,0.7020000000000001,0.0
