Year,RK,Team,League,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG▼,WHIP
2018,1,Baltimore Orioles,AL,47,115,5.18,162,162,28,46,1431.0,1552,892,824,234,589,1203,0.276,1.50
,2,Kansas City Royals,AL,58,104,4.94,162,162,33,57,1432.0,1542,833,786,205,549,1157,0.275,1.46
,3,Texas Rangers,AL,67,95,4.92,162,162,42,56,1431.0,1516,848,783,222,491,1121,0.271,1.40
,4,Cincinnati Reds,NL,67,95,4.63,162,162,38,57,1441.0,1491,819,741,228,532,1258,0.266,1.40
,5,Toronto Blue Jays,AL,73,89,4.85,162,162,39,59,1433.2,1476,832,772,208,551,1298,0.265,1.41
,6,Detroit Tigers,AL,64,98,4.58,162,162,37,61,1425.1,1423,796,726,216,491,1215,0.258,1.34
,7,Minnesota Twins,AL,78,84,4.50,162,162,37,65,1443.1,1425,775,721,198,573,1377,0.256,1.38
,8,San Diego Padres,NL,66,96,4.40,162,162,36,53,1457.0,1430,767,713,185,519,1399,0.256,1.34
,9,Chicago White Sox,AL,62,100,4.83,162,162,34,53,1437.0,1404,848,771,196,653,1259,0.254,1.43
,10,Miami Marlins,NL,63,98,4.76,161,161,30,53,1442.0,1388,809,762,192,605,1249,0.254,1.38
,11,Seattle Mariners,AL,89,73,4.13,162,162,60,81,1448.2,1396,711,664,195,400,1328,0.252,1.24
,12,San Francisco Giants,NL,73,89,3.95,162,162,36,66,1461.1,1387,699,641,156,524,1269,0.251,1.31
,13,Pittsburgh Pirates,NL,82,79,4.00,161,161,40,60,1434.0,1380,693,637,174,497,1336,0.251,1.31
,14,Colorado Rockies,NL,91,72,4.33,163,163,51,78,1452.1,1377,745,699,184,525,1409,0.250,1.31
,15,Philadelphia Phillies,NL,80,82,4.14,162,162,44,64,1445.2,1366,728,665,171,500,1465,0.249,1.29
,16,Los Angeles Angels,AL,80,82,4.15,162,162,35,61,1437.1,1353,722,662,205,546,1386,0.248,1.32
,17,New York Mets,NL,77,85,4.07,162,162,41,59,1460.2,1364,707,661,185,484,1446,0.246,1.27
,18,St. Louis Cardinals,NL,88,74,3.85,162,162,43,64,1455.1,1354,691,622,144,593,1337,0.246,1.34
,19,Cleveland Indians,AL,91,71,3.77,162,162,41,58,1457.1,1349,648,611,200,407,1544,0.242,1.20
,20,Washington Nationals,NL,82,80,4.04,162,162,40,54,1446.0,1320,682,649,198,487,1417,0.242,1.25
,21,Chicago Cubs,NL,95,68,3.65,163,163,46,65,1476.1,1319,645,598,157,622,1333,0.240,1.31
,22,Arizona Diamondbacks,NL,82,80,3.72,162,162,39,66,1463.0,1313,644,605,174,522,1448,0.239,1.25
,23,Boston Red Sox,AL,108,54,3.75,162,162,46,66,1458.2,1305,647,608,176,512,1558,0.237,1.25
,24,New York Yankees,AL,100,62,3.78,162,162,49,67,1456.1,1311,669,611,177,494,1634,0.237,1.24
,25,Oakland Athletics,AL,97,65,3.81,162,162,44,62,1465.2,1303,674,621,184,474,1237,0.236,1.21
,26,Milwaukee Brewers,NL,96,67,3.73,163,163,49,74,1461.0,1259,659,606,173,553,1428,0.233,1.24
,27,Los Angeles Dodgers,NL,92,71,3.38,163,163,48,74,1476.0,1279,610,554,179,422,1565,0.230,1.15
,28,Tampa Bay Rays,AL,90,72,3.74,162,162,52,74,1448.1,1236,646,602,164,501,1421,0.230,1.20
,29,Atlanta Braves,NL,90,72,3.75,162,162,40,60,1456.2,1236,657,607,153,635,1423,0.229,1.28
,30,Houston Astros,AL,103,59,3.11,162,162,46,67,1455.0,1164,534,503,152,435,1687,0.217,1.10
2017,1,Detroit Tigers,AL,64,98,5.36,162,162,32,55,1420.1,1587,894,846,218,538,1202,0.282,1.50
,2,New York Mets,NL,70,92,5.01,162,162,34,54,1434.2,1538,863,799,220,593,1374,0.273,1.49
,3,Baltimore Orioles,AL,75,87,4.97,162,162,35,53,1441.0,1505,841,795,242,579,1233,0.269,1.45
,4,San Francisco Giants,NL,64,98,4.50,162,162,32,55,1452.0,1515,776,726,182,496,1234,0.268,1.38
,5,Minnesota Twins,AL,85,77,4.59,162,162,42,61,1436.0,1487,788,732,224,483,1166,0.266,1.37
,6,Kansas City Royals,AL,80,82,4.61,162,162,39,60,1437.2,1480,791,737,196,519,1216,0.265,1.39
,7,Philadelphia Phillies,NL,66,96,4.55,162,162,33,57,1441.0,1471,782,729,221,527,1309,0.265,1.39
,8,Colorado Rockies,NL,87,75,4.51,162,162,47,62,1437.2,1453,757,721,190,532,1270,0.264,1.38
,9,Pittsburgh Pirates,NL,75,87,4.22,162,162,36,57,1440.2,1464,731,676,182,511,1262,0.264,1.37
,10,Cincinnati Reds,NL,68,94,5.17,162,162,33,48,1430.0,1442,869,821,248,631,1300,0.263,1.45
,11,Atlanta Braves,NL,72,90,4.72,162,162,36,59,1441.1,1463,821,756,192,584,1258,0.263,1.42
,12,Miami Marlins,NL,77,85,4.82,162,162,34,61,1442.2,1450,822,772,193,627,1202,0.263,1.44
,13,Texas Rangers,AL,78,84,4.66,162,162,29,50,1434.1,1443,816,742,214,559,1107,0.261,1.40
,14,Oakland Athletics,AL,75,87,4.67,162,162,35,60,1431.0,1444,826,743,210,502,1202,0.261,1.36
,15,San Diego Padres,NL,71,91,4.67,162,162,45,62,1430.2,1417,816,742,226,554,1325,0.259,1.38
,16,Toronto Blue Jays,AL,76,86,4.42,162,162,45,72,1465.0,1460,784,720,203,549,1372,0.258,1.37
,17,Seattle Mariners,AL,78,84,4.46,162,162,39,65,1440.1,1399,772,713,237,490,1244,0.254,1.31
,18,Chicago White Sox,AL,67,95,4.78,162,162,25,40,1421.2,1384,820,755,242,632,1193,0.254,1.42
,19,St. Louis Cardinals,NL,83,79,4.01,162,162,43,60,1450.1,1393,705,646,183,493,1351,0.253,1.30
,20,Milwaukee Brewers,NL,86,76,4.00,162,162,54,79,1445.2,1381,697,642,185,553,1346,0.252,1.34
,21,Los Angeles Angels,AL,80,82,4.20,162,162,43,65,1440.2,1373,709,672,224,470,1312,0.251,1.28
,22,Boston Red Sox,AL,93,69,3.70,162,162,39,58,1482.1,1384,668,610,195,465,1580,0.245,1.25
,23,Tampa Bay Rays,AL,80,82,3.97,162,162,53,75,1445.0,1324,704,638,193,503,1352,0.242,1.26
,24,Arizona Diamondbacks,NL,93,69,3.66,162,162,43,63,1441.0,1309,659,586,171,516,1482,0.240,1.27
,25,Houston Astros,AL,101,61,4.12,162,162,45,67,1446.0,1314,700,662,192,522,1593,0.240,1.27
,26,Washington Nationals,NL,97,65,3.88,162,162,46,64,1446.2,1300,672,623,189,495,1457,0.239,1.24
,27,Chicago Cubs,NL,92,70,3.95,162,162,38,57,1447.1,1294,695,636,194,554,1439,0.238,1.28
,28,Cleveland Indians,AL,102,60,3.30,162,162,37,47,1440.2,1267,564,529,163,406,1614,0.236,1.16
,29,New York Yankees,AL,91,71,3.72,162,162,36,59,1448.2,1248,660,599,192,504,1560,0.228,1.21
,30,Los Angeles Dodgers,NL,104,58,3.38,162,162,51,68,1444.2,1226,580,543,184,442,1549,0.228,1.15
2016,1,Minnesota Twins,AL,59,103,5.08,162,162,26,46,1443.0,1617,889,814,221,479,1191,0.283,1.45
,2,Arizona Diamondbacks,NL,69,93,5.09,162,162,31,53,1451.1,1563,890,821,202,603,1318,0.275,1.49
,3,Colorado Rockies,NL,75,87,4.91,162,162,37,65,1429.1,1532,860,779,181,547,1223,0.274,1.45
,4,Los Angeles Angels,AL,74,88,4.28,162,162,29,50,1421.1,1480,727,676,208,498,1136,0.269,1.39
,5,Pittsburgh Pirates,NL,78,83,4.21,162,162,51,71,1450.2,1490,758,679,180,533,1232,0.267,1.39
,6,Philadelphia Phillies,NL,71,91,4.63,162,162,43,63,1437.0,1468,796,739,213,466,1299,0.265,1.35
,7,Milwaukee Brewers,NL,73,89,4.08,162,162,46,69,1434.1,1450,733,650,178,532,1175,0.263,1.38
,8,Cincinnati Reds,NL,68,94,4.91,162,162,28,53,1442.0,1457,854,786,258,636,1241,0.263,1.45
,9,Oakland Athletics,AL,69,93,4.51,162,162,42,65,1433.1,1459,761,718,185,464,1188,0.263,1.34
,10,Texas Rangers,AL,95,67,4.37,162,162,56,73,1443.0,1441,757,700,201,534,1154,0.260,1.37
,11,Detroit Tigers,AL,86,75,4.24,161,161,47,66,1428.0,1417,721,672,182,462,1232,0.260,1.32
,12,Kansas City Royals,AL,81,81,4.21,162,162,41,60,1440.0,1433,712,674,206,517,1287,0.259,1.35
,13,St. Louis Cardinals,NL,86,76,4.08,162,162,38,55,1448.1,1432,712,656,159,475,1290,0.258,1.32
,14,San Diego Padres,NL,68,94,4.43,162,162,35,53,1440.0,1425,770,708,183,569,1222,0.258,1.38
,15,Baltimore Orioles,AL,89,73,4.22,162,162,54,68,1432.0,1408,715,671,183,545,1248,0.258,1.36
,16,Chicago White Sox,AL,78,84,4.10,162,162,43,71,1446.2,1422,715,659,185,521,1270,0.257,1.34
,17,Atlanta Braves,NL,68,93,4.51,161,161,39,58,1447.2,1414,779,725,177,547,1227,0.256,1.35
,18,Houston Astros,AL,84,78,4.06,162,162,44,64,1468.0,1441,701,663,181,453,1396,0.256,1.29
,19,Tampa Bay Rays,AL,68,94,4.20,162,162,42,60,1426.1,1395,713,665,210,491,1357,0.255,1.32
,20,New York Mets,NL,87,75,3.57,162,162,55,71,1447.0,1397,617,574,152,439,1396,0.254,1.27
,21,Seattle Mariners,AL,86,76,4.00,162,162,49,74,1457.0,1410,707,647,213,460,1318,0.253,1.28
,22,Miami Marlins,NL,79,82,4.05,161,161,55,84,1435.0,1358,682,646,152,595,1379,0.251,1.36
,23,New York Yankees,AL,84,78,4.16,162,162,48,64,1428.1,1358,702,660,214,444,1393,0.248,1.26
,24,Boston Red Sox,AL,93,69,4.00,162,162,43,61,1439.2,1342,694,640,176,490,1362,0.246,1.27
,25,San Francisco Giants,NL,87,75,3.65,162,162,43,72,1460.1,1334,631,593,158,439,1309,0.243,1.21
,26,Cleveland Indians,AL,94,67,3.84,161,161,37,48,1445.0,1330,676,617,186,461,1398,0.243,1.24
,27,Toronto Blue Jays,AL,89,73,3.78,162,162,43,66,1459.1,1340,666,613,183,461,1314,0.242,1.23
,28,Washington Nationals,NL,95,67,3.51,162,162,46,60,1459.2,1272,612,570,155,468,1476,0.234,1.19
,29,Los Angeles Dodgers,NL,91,71,3.70,162,162,47,69,1453.0,1266,638,598,165,464,1510,0.233,1.19
,30,Chicago Cubs,NL,103,58,3.15,162,162,38,53,1459.2,1125,556,511,163,495,1441,0.212,1.11
2015,1,Colorado Rockies,NL,68,94,5.04,162,162,36,61,1426.1,1579,844,799,183,579,1112,0.283,1.51
,2,Philadelphia Phillies,NL,63,99,4.69,162,162,35,51,1436.1,1592,809,749,191,488,1153,0.280,1.45
,3,Minnesota Twins,AL,83,79,4.07,162,162,45,60,1443.0,1506,700,653,163,413,1046,0.269,1.33
,4,Atlanta Braves,NL,67,95,4.41,162,162,44,70,1425.1,1462,760,698,170,550,1148,0.268,1.41
,5,Detroit Tigers,AL,74,87,4.64,161,161,35,59,1447.0,1491,803,746,193,489,1100,0.268,1.37
,6,Boston Red Sox,AL,78,84,4.31,162,162,40,61,1448.1,1486,753,694,178,478,1218,0.264,1.36
,7,Texas Rangers,AL,88,74,4.24,162,162,45,62,1442.2,1459,733,680,171,508,1095,0.262,1.36
,8,Milwaukee Brewers,NL,68,94,4.28,162,162,40,53,1435.0,1432,737,682,176,517,1260,0.261,1.36
,9,Chicago White Sox,AL,76,86,3.98,162,162,37,52,1452.2,1443,701,643,162,474,1359,0.260,1.32
,10,Cincinnati Reds,NL,64,98,4.33,162,162,35,57,1453.1,1436,754,700,177,544,1252,0.258,1.36
,11,Arizona Diamondbacks,NL,79,83,4.04,162,162,44,65,1466.2,1450,713,659,182,500,1215,0.258,1.33
,12,Baltimore Orioles,AL,81,81,4.05,162,162,43,58,1434.2,1406,693,646,174,483,1233,0.257,1.32
,13,Seattle Mariners,AL,76,86,4.16,162,162,45,71,1463.0,1430,726,677,181,491,1283,0.256,1.31
,14,Miami Marlins,NL,71,91,4.02,162,162,35,56,1427.0,1374,678,638,141,508,1152,0.255,1.32
,15,Oakland Athletics,AL,68,94,4.14,162,162,28,53,1444.2,1402,729,664,172,474,1179,0.254,1.30
,16,New York Yankees,AL,87,75,4.03,162,162,48,60,1457.2,1416,698,652,182,474,1370,0.253,1.30
,17,San Diego Padres,NL,74,88,4.09,162,162,41,58,1440.1,1371,731,655,171,516,1393,0.252,1.31
,18,Washington Nationals,NL,83,79,3.62,162,162,41,64,1434.2,1366,635,577,145,364,1342,0.250,1.21
,19,Kansas City Royals,AL,95,67,3.73,162,162,56,76,1452.0,1372,641,601,155,489,1160,0.249,1.28
,20,Toronto Blue Jays,AL,93,69,3.80,162,162,34,56,1441.0,1353,670,609,173,397,1117,0.248,1.21
,21,Pittsburgh Pirates,NL,98,64,3.21,162,162,54,68,1489.2,1392,596,532,110,453,1338,0.248,1.24
,22,Los Angeles Angels,AL,85,77,3.94,162,162,46,67,1440.2,1355,675,630,166,466,1221,0.248,1.26
,23,St. Louis Cardinals,NL,100,62,2.94,162,162,62,77,1464.2,1359,525,478,123,477,1329,0.246,1.25
,24,San Francisco Giants,NL,84,78,3.72,162,162,41,56,1444.1,1344,627,597,155,431,1165,0.246,1.23
,25,New York Mets,NL,90,72,3.43,162,162,50,71,1462.2,1341,613,557,152,383,1337,0.243,1.18
,26,Los Angeles Dodgers,NL,92,70,3.44,162,162,47,68,1445.2,1317,595,553,145,395,1396,0.242,1.18
,27,Houston Astros,AL,86,76,3.57,162,162,39,58,1441.0,1308,618,572,148,423,1280,0.241,1.20
,28,Tampa Bay Rays,AL,80,82,3.74,162,162,60,87,1453.1,1314,642,604,175,477,1355,0.240,1.23
,29,Cleveland Indians,AL,81,80,3.67,161,161,38,50,1432.2,1274,640,584,161,425,1407,0.237,1.19
,30,Chicago Cubs,NL,97,65,3.36,162,162,48,67,1461.1,1276,608,546,134,407,1431,0.233,1.15
2014,1,Minnesota Twins,AL,70,92,4.57,162,162,38,58,1435.0,1588,777,728,147,408,1031,0.280,1.39
,2,Colorado Rockies,NL,66,96,4.84,162,162,24,49,1431.0,1528,818,770,173,531,1074,0.276,1.44
,3,Texas Rangers,AL,67,95,4.49,162,162,33,47,1426.1,1510,773,711,160,505,1110,0.272,1.41
,4,Arizona Diamondbacks,NL,64,98,4.26,162,162,35,56,1444.1,1467,742,683,154,469,1278,0.265,1.34
,5,Chicago White Sox,AL,73,89,4.29,162,162,36,57,1441.0,1468,758,687,140,557,1152,0.265,1.41
,6,Miami Marlins,NL,77,85,3.78,162,162,42,64,1457.2,1481,674,613,114,458,1190,0.264,1.33
,7,Detroit Tigers,AL,90,72,4.01,162,162,41,57,1454.0,1475,705,648,127,462,1244,0.263,1.33
,8,Houston Astros,AL,70,92,4.11,162,162,31,56,1438.2,1437,723,657,139,484,1137,0.260,1.34
,9,Boston Red Sox,AL,71,91,4.01,162,162,36,54,1465.2,1458,715,653,154,482,1213,0.260,1.32
,10,Toronto Blue Jays,AL,83,79,4.00,162,162,45,64,1443.0,1400,686,642,151,490,1199,0.253,1.31
,11,Philadelphia Phillies,NL,73,89,3.79,162,162,40,56,1468.1,1396,687,619,134,521,1255,0.252,1.31
,12,Chicago Cubs,NL,73,89,3.91,162,162,37,57,1463.1,1398,707,636,115,504,1311,0.252,1.30
,13,Atlanta Braves,NL,79,83,3.38,162,162,54,67,1455.0,1369,597,547,121,472,1301,0.251,1.27
,14,Kansas City Royals,AL,89,73,3.51,162,162,53,65,1450.2,1386,624,565,128,440,1168,0.250,1.26
,15,New York Yankees,AL,84,78,3.75,162,162,48,69,1453.0,1392,664,605,164,398,1370,0.250,1.23
,16,Milwaukee Brewers,NL,82,80,3.67,162,162,45,65,1457.2,1386,657,594,167,431,1246,0.250,1.25
,17,Cleveland Indians,AL,85,77,3.56,162,162,40,63,1468.1,1398,653,581,135,464,1450,0.250,1.27
,18,New York Mets,NL,79,83,3.49,162,162,42,64,1463.2,1370,618,568,141,509,1303,0.248,1.28
,19,Pittsburgh Pirates,NL,88,74,3.47,162,162,48,72,1456.1,1341,631,562,128,499,1228,0.247,1.26
,20,Washington Nationals,NL,96,66,3.03,162,162,45,62,1470.2,1351,555,495,110,352,1288,0.244,1.16
,21,Baltimore Orioles,AL,96,66,3.43,162,162,53,72,1461.1,1342,593,557,151,472,1174,0.244,1.24
,22,Los Angeles Dodgers,NL,94,68,3.40,162,162,47,61,1464.2,1338,617,554,142,429,1373,0.242,1.21
,23,St. Louis Cardinals,NL,90,72,3.50,162,162,55,71,1448.2,1321,603,564,123,470,1221,0.242,1.24
,24,San Diego Padres,NL,77,85,3.27,162,162,41,49,1438.2,1300,577,523,117,462,1284,0.241,1.22
,25,San Francisco Giants,NL,88,74,3.50,162,162,46,64,1449.0,1305,614,564,133,389,1211,0.241,1.17
,26,Cincinnati Reds,NL,76,86,3.59,162,162,44,63,1446.0,1282,612,576,163,507,1290,0.237,1.24
,27,Los Angeles Angels,AL,98,64,3.58,162,162,46,62,1482.2,1307,630,590,126,504,1342,0.236,1.22
,28,Tampa Bay Rays,AL,77,85,3.56,162,162,37,56,1463.2,1292,625,579,145,482,1437,0.234,1.21
,29,Oakland Athletics,AL,88,74,3.22,162,162,31,52,1463.1,1269,572,524,147,406,1244,0.233,1.14
,30,Seattle Mariners,AL,87,75,3.17,162,162,51,62,1452.0,1240,554,512,137,463,1317,0.230,1.17
2013,1,Minnesota Twins,AL,66,96,4.55,162,162,40,58,1450.1,1591,788,733,168,458,985,0.280,1.41
,2,Colorado Rockies,NL,74,88,4.44,162,162,35,53,1436.0,1545,760,708,136,517,1064,0.277,1.44
,3,Houston Astros,AL,51,111,4.79,162,162,32,61,1440.0,1530,848,766,191,616,1084,0.272,1.49
,4,Philadelphia Phillies,NL,73,89,4.32,162,162,32,48,1436.1,1465,749,689,152,506,1199,0.265,1.37
,5,Los Angeles Angels,AL,78,84,4.23,162,162,41,58,1457.2,1475,737,685,167,533,1200,0.261,1.38
,6,New York Yankees,AL,85,77,3.94,162,162,49,62,1447.1,1452,671,633,171,437,1233,0.261,1.31
,7,Baltimore Orioles,AL,85,77,4.20,162,162,57,84,1453.0,1438,709,678,202,473,1169,0.259,1.32
,8,Seattle Mariners,AL,71,91,4.31,162,162,43,66,1465.0,1467,754,702,174,478,1297,0.259,1.33
,9,Toronto Blue Jays,AL,74,88,4.25,162,162,39,58,1452.0,1451,756,685,195,500,1208,0.259,1.34
,10,Arizona Diamondbacks,NL,81,81,3.92,162,162,38,67,1495.0,1460,695,651,176,485,1218,0.257,1.30
,11,New York Mets,NL,74,88,3.77,162,162,40,58,1476.2,1442,684,618,152,458,1209,0.256,1.29
,12,Chicago White Sox,AL,63,99,3.98,162,162,40,60,1455.0,1424,723,643,182,509,1249,0.256,1.33
,13,Milwaukee Brewers,NL,74,88,3.84,162,162,40,63,1442.2,1401,687,615,175,466,1125,0.255,1.29
,14,San Diego Padres,NL,76,86,3.98,162,162,40,53,1455.0,1407,700,643,156,525,1171,0.255,1.33
,15,San Francisco Giants,NL,76,86,4.00,162,162,41,54,1447.1,1380,691,643,145,521,1256,0.251,1.31
,16,Miami Marlins,NL,62,100,3.71,162,162,36,53,1460.0,1376,646,602,121,526,1177,0.251,1.30
,17,Kansas City Royals,AL,86,76,3.45,162,162,52,73,1448.1,1366,601,555,155,469,1208,0.250,1.27
,18,Washington Nationals,NL,86,76,3.59,162,162,47,68,1445.2,1367,626,576,142,405,1236,0.249,1.23
,19,St. Louis Cardinals,NL,97,65,3.42,162,162,44,64,1459.2,1366,596,555,112,451,1254,0.249,1.24
,20,Cleveland Indians,AL,92,70,3.82,162,162,38,60,1441.1,1359,662,611,147,554,1379,0.249,1.33
,21,Boston Red Sox,AL,97,65,3.79,162,162,33,57,1454.0,1366,656,613,156,524,1294,0.248,1.30
,22,Texas Rangers,AL,91,72,3.62,163,163,46,57,1463.1,1370,636,589,157,498,1309,0.248,1.28
,23,Detroit Tigers,AL,93,69,3.61,162,162,39,55,1462.2,1369,624,587,128,462,1428,0.247,1.25
,24,Chicago Cubs,NL,66,96,4.00,162,162,39,65,1448.0,1332,689,643,160,540,1184,0.244,1.29
,25,Atlanta Braves,NL,96,66,3.18,162,162,53,69,1450.1,1326,548,512,127,409,1232,0.244,1.20
,26,Los Angeles Dodgers,NL,92,70,3.25,162,162,46,65,1450.1,1321,582,524,127,460,1292,0.243,1.23
,27,Oakland Athletics,AL,96,66,3.56,162,162,46,67,1452.0,1339,625,574,163,428,1183,0.242,1.22
,28,Tampa Bay Rays,AL,92,71,3.74,163,163,42,60,1464.0,1315,646,608,153,482,1310,0.240,1.23
,29,Pittsburgh Pirates,NL,94,68,3.26,162,162,55,70,1470.2,1299,577,533,101,515,1261,0.238,1.23
,30,Cincinnati Reds,NL,90,72,3.38,162,162,43,59,1473.2,1294,589,554,170,435,1296,0.236,1.17
2012,1,Colorado Rockies,NL,64,98,5.22,162,162,36,63,1422.0,1637,890,824,198,566,1144,0.290,1.55
,2,Minnesota Twins,AL,66,96,4.77,162,162,35,49,1438.2,1536,832,762,198,465,943,0.274,1.39
,3,Kansas City Royals,AL,72,90,4.30,162,162,44,64,1451.1,1504,746,693,163,542,1177,0.270,1.41
,4,Houston Astros,NL,55,107,4.56,162,162,31,50,1423.1,1493,794,721,173,540,1170,0.270,1.43
,5,Cleveland Indians,AL,68,94,4.78,162,162,43,56,1442.0,1503,845,766,174,543,1086,0.268,1.42
,6,Miami Marlins,NL,69,93,4.09,162,162,38,60,1440.2,1448,724,655,133,495,1113,0.263,1.35
,7,Boston Red Sox,AL,69,93,4.70,162,162,35,57,1443.0,1449,806,754,190,529,1176,0.262,1.37
,8,Toronto Blue Jays,AL,73,89,4.64,162,162,29,44,1443.2,1439,784,745,204,574,1142,0.261,1.39
,9,Arizona Diamondbacks,NL,81,81,3.93,162,162,39,59,1433.2,1432,688,626,155,417,1200,0.261,1.29
,10,Milwaukee Brewers,NL,83,79,4.22,162,162,44,73,1453.2,1458,733,682,169,525,1402,0.261,1.36
,11,Chicago Cubs,NL,61,101,4.51,162,162,28,49,1413.2,1399,759,708,175,573,1128,0.259,1.39
,12,Detroit Tigers,AL,88,74,3.75,162,162,40,56,1430.2,1409,670,596,151,438,1318,0.256,1.29
,13,St. Louis Cardinals,NL,88,74,3.71,162,162,42,64,1462.2,1420,648,603,134,436,1218,0.255,1.27
,14,New York Yankees,AL,95,67,3.84,162,162,51,64,1445.1,1401,668,617,190,431,1318,0.253,1.27
,15,Baltimore Orioles,AL,93,69,3.90,162,162,55,73,1483.0,1433,705,642,184,481,1177,0.252,1.29
,16,Philadelphia Phillies,NL,81,81,3.83,162,162,42,61,1451.1,1387,680,618,178,409,1385,0.251,1.24
,17,New York Mets,NL,74,88,4.09,162,162,36,55,1434.0,1368,709,651,161,488,1240,0.251,1.29
,18,Texas Rangers,AL,93,69,3.99,162,162,43,52,1442.0,1378,707,639,175,446,1286,0.250,1.26
,19,Chicago White Sox,AL,85,77,4.02,162,162,37,57,1445.2,1365,676,646,186,503,1246,0.250,1.29
,20,Pittsburgh Pirates,NL,79,83,3.86,162,162,45,59,1433.1,1357,674,615,153,490,1192,0.249,1.29
,21,San Diego Padres,NL,76,86,4.01,162,162,43,60,1434.2,1356,710,640,162,539,1205,0.248,1.32
,22,Seattle Mariners,AL,75,87,3.76,162,162,43,62,1456.2,1359,651,608,166,449,1166,0.248,1.24
,23,San Francisco Giants,NL,94,68,3.68,162,162,53,67,1451.0,1361,649,593,142,489,1237,0.248,1.27
,24,Cincinnati Reds,NL,97,65,3.34,162,162,56,74,1453.0,1356,588,540,152,427,1248,0.247,1.23
,25,Los Angeles Angels,AL,89,73,4.02,162,162,38,60,1433.1,1339,699,640,186,483,1157,0.246,1.27
,26,Oakland Athletics,AL,94,68,3.48,162,162,47,64,1470.0,1360,614,569,147,462,1136,0.245,1.24
,27,Atlanta Braves,NL,94,68,3.42,162,162,47,60,1445.1,1310,600,549,145,464,1232,0.243,1.23
,28,Los Angeles Dodgers,NL,86,76,3.34,162,162,40,59,1449.2,1277,597,538,122,539,1276,0.238,1.25
,29,Washington Nationals,NL,98,64,3.33,162,162,51,68,1468.1,1296,594,543,129,497,1325,0.237,1.22
,30,Tampa Bay Rays,AL,90,72,3.19,162,162,50,58,1459.2,1233,577,518,139,469,1383,0.228,1.17
2011,1,Minnesota Twins,AL,63,99,4.58,162,162,32,52,1421.2,1564,804,724,161,480,940,0.281,1.44
